"TID","UA"
"TID_STAR_POINTS_TO_COSMETIC_COINS_POPUP_TITLE","ВИКОРИСТОВУЙ БЛІНГИ ДЛЯ ПОКУПКИ ЕЛЕМЕНТІВ ОФОРМЛЕННЯ!"
"TID_BLING","Блінги"
"TID_SHOP_OFFER_TITLE_45","БЛІНГИ"
"TID_SHOP_OFFER_INFO_45","Містить блінги (<AMOUNT>). Збирай блінги, щоб купувати скіни, значки, спреї та іконки профілю."
"TID_GATCHA_SCREEN_BLING_DROP_TITLE","БЛІНГИ"
"TID_GATCHA_SCREEN_BLING_DROP_DESC","За блінги можна купувати скіни, значки, спреї та іконки профілю."
"TID_BLING_CAP_REACHED_TITLE","ДОСЯГНУТО МЕЖУ БЛІНГІВ"
"TID_BLING_CAP_REACHED_DESC","Витрать блінги на скіни, значки, спреї або іконки профілю, перш ніж збирати далі."
"TID_BLING_CAP_REACHED_DESC_OFFER","Витрать блінги на скіни, значки, спреї або іконки профілю, перш ніж збирати далі.\n\nБЛІНГИ, ЗІБРАНІ ПІСЛЯ ДОСЯГНЕННЯ МЕЖІ, БУДУТЬ ВТРАЧЕНІ!"
"TID_BLING_CAP_REACHED_AMOUNT","<NUM> із <MAX>"
"TID_BLING_CAP_REACHED_SHOP_BUTTON","ДО МАГАЗИНУ"
"TID_TOP_TOOL_TIP_BLING","<c53C5F7>Блінги</c> потрібні для покупки скінів, значків, спреїв та іконок профілю.\n\nБлінги можна отримати в Brawl Pass, рейтингових боях, у призах Старр, а також при скиданні трофеїв і підвищенні рангу бійця.\n\nМаксимально можлива кількість: <c53C5F7><MAX></c><EXTRAINFO>"
"TID_TOP_TOOL_TIP_BLING_GENERIC","<c53C5F7>Блінги</c> потрібні для покупки скінів, значків, спреїв та іконок профілю.\n\nБлінги можна отримати в Brawl Pass, рейтингових боях, у призах Старр, а також при скиданні трофеїв і підвищенні рангу бійця."
"TID_STAR_POINTS_TO_BLING_NOTIFICATION","Твої зіркові очки перетворилися на блінги (<AMOUNT>). За блінги можна купувати скіни, значки, спреї та іконки профілю в магазині."
"TID_STAR_POINTS_TO_BLING_POPUP_TITLE","НОВИЙ СПОСІБ РОБИТИ ПОКУПКИ!"
"TID_LOGIN_RESTRICTED_BY_LOCATION","Ваше поточне місце розташування не дозволяє виконати вхід."
"TID_CATALOGUE_BROWSE_COLLECTIONS","ПЕРЕГЛЯНУТИ КОЛЕКЦІЇ"
"TID_NOT_ENOUGH_BLING","Не вистачає блінгів!"
"TID_HERO_INFO_BUY_MISSING_BLING1","ПОТРІБНО БІЛЬШЕ БЛІНГІВ (<MISSINGBLING>)"
"TID_HERO_INFO_BUY_MISSING_BLING2","Купити за блінги та кристали?"
"TID_HERO_INFO_BUY_MISSING_BLING_GEMS_ONLY","Купити за кристали (<GEMS>)?"
"TID_HERO_INFO_BUY_MISSING_BLING_GEMS2","Придбай кристали (<MISSINGGEMS>), щоб купити блінги, яких бракує."
"TID_NOT_ENOUGH_BLING_TITLE","Придбай кристали, щоб докупити блінги"
"TID_HERO_INFO_BUY_MISSING_GEMS1","ПОТРІБНО БІЛЬШЕ КРИСТАЛІВ (<MISSINGGEMS>)"
"TID_HERO_INFO_BUY_MISSING_GEMS2","Придбай кристали, яких бракує (<MISSINGGEMS>), щоб зробити покупку."
"TID_HERO_INFO_BUY_MISSING_COINS1","ПОТРІБНО БІЛЬШЕ МОНЕТ (<MISSINGCOINS>)"
"TID_HERO_INFO_BUY_MISSING_COINS2","Придбай кристали (<MISSINGCOINS>), щоб купити монети, яких бракує."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_GEMS","Придбай <cC5F724>кристали (<REQUIREDGEMS>)</c>, щоб зробити цю покупку."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_BLING","Придбай <cC5F724>кристали (<REQUIREDGEMS>)</c>, щоб купити блінги, яких бракує."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_BRAWLER","Придбай <cC5F724>кристали (<REQUIREDGEMS>)</c>, щоб купити ресурси, яких бракує."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_COLLAB_POINTS","Придбай кристали (<cC5F724><REQUIREDGEMS></c>), щоб купити шматочки піци, яких бракує."
"TID_DIRECT_PURCHASE_GEM_PACKS_DESC_COINS","Придбай <cC5F724>монети (<REQUIREDCOINS>)</c>, щоб зробити цю покупку."
"TID_DIRECT_PURCHASE_COIN_PACKS_TITLE","ДОДАТКОВІ МОНЕТИ"
"TID_OFFER_POPUP_CONFIRMATION_POPUP_BLING","Точно хочеш зробити покупку?"
"TID_CATALOG_OWNED","Вже є у твоїй колекції!"
"TID_CATALOG_REQUIRES_BRAWLER","Потрібен боєць <BRAWLER>."
"TID_CATALOG_NOT_AVAILABLE_FOR_SALE","Не продається."
"TID_CATALOG_BUY_OPTION_NOT_UNLOCKED_PL_SKIN","Цей скін можна розблокувати лише в рейтингових боях."
"TID_CATALOG_BUY_OPTION_NOT_UNLOCKED","Можливість покупки не розблокована."
"TID_CATALOG_UNLOCK_WITH_SCID","Підключись до Supercell ID, щоб розблокувати!"
"TID_CATALOG_UNLOCK_FROM_BRAWLPASS","Можна розблокувати в Brawl Pass."
"TID_CATALOG_UNLOCK_FROM_BRAWLPASS_AND_REQUIRES_HERO","Можна розблокувати в Brawl Pass. Спочатку потрібно розблокувати бійця <BRAWLER>."
"TID_CATALOG_ITEM_BRAWLPASS_ONLY","Цей предмет Brawl Pass стане доступним пізніше."
"TID_CATALOG_BUTTON_BRAWLPASS_GO","ПОГНАЛИ!"
"TID_SHOP_OFFER_PURCHASE_ERROR_10","Ця покупка наразі недоступна"
"TID_SHOP_OFFER_PURCHASE_ERROR_11","Покупки за блінги поки недоступні"
"TID_SHOP_OFFER_PURCHASE_ERROR_12","Для покупки гіпнозаряду потрібно покращити бійця <HERONAME> до <LEVEL>-го рівня сили."
"TID_SHOP_OFFER_PURCHASE_ERROR_14","Спочатку потрібно скористатися попередньою акцією!"
"TID_SHOP_OFFER_PURCHASE_ERROR_15","Недоступно через відсутність попередньої акції. Спробуй ще раз пізніше."
"TID_SHOP_OFFER_REQUIRED_HERO_LEVEL","Потрібен боєць <HERONAME> <LEVEL>-го рівня сили"
"TID_CATALOG_BLING_PRICE_NOT_YET_AVAILABLE","Можна купити за блінги пізніше"
"TID_CATALOG_GEM_PRICE_DISCOUNT_TIME","Особлива акція: <TIME>"
"TID_SHOP_TOP_UP_WITH_GEMS","Додати за кристали (<GEMS>)"
"TID_BATTLE_END_REPLAY_TITLE","НАЙКРАЩИЙ МОМЕНТ"
"TID_FEAT_MOST_KILLS","Лідер за перемогами"
"TID_FEAT_MOST_DAMAGE","Лідер за шкодою"
"TID_FEAT_MOST_HEAL","Лідер за зціленням"
"TID_EVENT_MODIFIER_19","ТОП-ПЕС"
"TID_EVENT_MODIFIER_DESC_19","Здоров’я не відновлюється з часом. Цілющі хот-доги з’являтимуться в різних місцях карти та на місці переможених ворогів."
"TID_EVENT_MODIFIER_22","ВІДКЛАДЕНА ДЕТОНАЦІЯ"
"TID_EVENT_MODIFIER_DESC_22","Об’єкти на карті поступово руйнуються."
"TID_SHARK_HANK_SKIN","АКУЛА ХЕНК"
"TID_SHARK_HANK_SKIN_SHOP","АКУЛА ХЕНК"
"TID_TECH_MAISIE_SKIN","ТЕХНАРКА МЕЙСІ"
"TID_TECH_MAISIE_SKIN_SHOP","ТЕХНАРКА МЕЙСІ"
"TID_BRAWL_PASS_SEASON_17","РЯТУВАЛЬНА ОПЕРАЦІЯ"
"TID_TITLE_MASTERY_HANK","Бойова креветка"
"TID_TITLE_MASTERY_MAISIE","Контрольована катастрофа"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TITLE","ДЕ ВЗЯТИ БЛІНГИ?"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TXT1","БЛІНГИ можна отримати як нагороду за кожні 5 рангів."
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TXT2","Зайві трофеї перетворюються на БЛІНГИ в кінці трофейної ліги."
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_TXT3","Кожне підвищення рангу в рейтингових боях винагороджується блінгами."
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_SUBTITLE1","ПІДВИЩЕННЯ РАНГУ БІЙЦЯ"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_SUBTITLE2","СКИДАННЯ ТРОФЕЇВ"
"TID_HOW_TO_GET_COSMETIC_COINS_INFO_SUBTITLE3","РЕЙТИНГОВИЙ БІЙ"
"TID_BATTLE_END_REPLAY_FOLLOWING","СПОСТЕРЕЖЕННЯ"
"TID_JUNGLE_QUEEN_MAISIE_SKIN","КОРОЛЕВА ДЖУНГЛІВ МЕЙСІ"
"TID_JUNGLE_QUEEN_MAISIE_SKIN_MAISIE","КОРОЛЕВА ДЖУНГЛІВ\nМЕЙСІ"
"TID_DUELIST","КОРДЕЛІУС"
"TID_DUELIST_SHORT_DESC","УБИВЦЯ"
"TID_DUELIST_DESC","Садівник, який доглядає Зачарований ліс. Обожнює гриби і вороже ставиться до незнайомців."
"TID_DUELIST_WEAPON","ГРИБИ"
"TID_DUELIST_WEAPON_DESC","Садовий інструмент Корделіуса стріляє двома грибами, які завдають шкоди при влучанні в противника."
"TID_DUELIST_ULTI","МОЄ ЦАРСТВО"
"TID_DUELIST_ULTI_DESC","Корделіус стріляє тіньовим грибом, що пробиває стіни і при влучанні переносить Корделіуса та його ціль у царство тіней на <c00cc00><VALUE1></c> с. Коли Корделіус перебуває в царстві тіней, його швидкість збільшується на <c00cc00><VALUE2> %</c>, а перезарядка — на <c00cc00><VALUE3> %</c>."
"TID_SPEC_ABI_DUELIST_1","КОМБОГРИБИ"
"TID_SPEC_ABI_DUELIST_1_DESC","Другий гриб, що влучив у ту саму ціль, що й перший, завдає на <c00cc00><VALUE1> %</c> більше шкоди."
"TID_SPEC_ABI_DUELIST_2","ГРИБНЕ ЦАРСТВО"
"TID_SPEC_ABI_DUELIST_2_DESC","Після застосування Супера в царстві тіней з’являються гриби (<c00cc00><VALUE1></c>). Зібрані гриби відновлюють <c00cc00><VALUE2></c> од. здоров’я союзникам і віднімають стільки ж у противників."
"TID_ACCESSORY_DUELIST_GADGET_1","ГРИБНИЙ ТРАМПЛІН"
"TID_ACCESSORY_DUELIST_GADGET_1_DESC","Корделіус швидко перестрибує ділянку карти."
"TID_ACCESSORY_DUELIST_GADGET_2","ОТРУЙНИЙ ГРИБ"
"TID_ACCESSORY_DUELIST_GADGET_2_DESC","Під час наступної основної атаки Корделіус стріляє отруйним грибом, який не дає противнику атакувати протягом <c00cc00><VALUE1></c> с."
"TID_REVIVER","ДАГ"
"TID_REVIVER_SHORT_DESC","ПІДТРИМКА"
"TID_REVIVER_DESC","Хот-доги Дага подовжують життя друзям."
"TID_REVIVER_WEAPON","ШВИДКИЙ ПЕРЕКУС"
"TID_REVIVER_WEAPON_DESC","Для друзів їжа свіжа, а для ворогів — прострочена. Зцілює союзників і завдає шкоди противникам."
"TID_REVIVER_ULTI","ДРУГА ПОРЦІЯ"
"TID_REVIVER_ULTI_DESC","Особливий хот-дог для союзника або самого Дага. Якщо боєць, який отримав хот-дог, зазнає поразки, то після невеликої перерви він воскресає з <c00cc00><VALUE1> %</c> здоров’я."
"TID_SPEC_ABI_REVIVER_1","ФАСТФУД"
"TID_SPEC_ABI_REVIVER_1_DESC","Після воскресіння швидкість руху воскреслого бійця збільшується на <c00cc00><VALUE1></c> с."
"TID_SPEC_ABI_REVIVER_2","САМООБСЛУГОВУВАННЯ"
"TID_SPEC_ABI_REVIVER_2_DESC","Атака «Швидкий перекус» також відновлює Дагу здоров’я з <c00cc00><VALUE1>-відсотковою</c> ефективністю."
"TID_ACCESSORY_REVIVER_GADGET_1","ДВІ СОСИСКИ"
"TID_ACCESSORY_REVIVER_GADGET_1_DESC","Наступна атака «Швидкий перекус» не зашкодить ворогам, але відновить удвічі більше здоров’я союзникам."
"TID_ACCESSORY_REVIVER_GADGET_2","ДОБАВКА ГІРЧИЦІ"
"TID_ACCESSORY_REVIVER_GADGET_2_DESC","Наступна атака «Швидкий перекус» не зцілить союзників, але завдасть удвічі більше шкоди ворогам."
"TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL","МІСЯЧНИЙ НОВИЙ РІК"
"TID_ERROR_POP_UP_LOGIN_BLOCKED_TITLE","ВХІД ОБМЕЖЕНО"
"TID_BUTTON_READ_MORE","ДЕТАЛІ"
"TID_SAVE_FROGS_EVENT_TITLE","ПОДІЯ «ПОРЯТУНОК ЖАБ»"
"TID_SAVE_FROGS_COLLECTED","ВРЯТОВАНО ЖАБ"
"TID_POWER_LEAGUE_SEASON_RESET_REWARD","Нагорода скидання сезону"
"TID_SHOP_OFFER_TITLE_46","НАБІР BRAWL PASS"
"TID_TROPHY_ROAD_BLING_DESCRIPTION","ДЕ ВЗЯТИ БЛІНГИ"
"TID_BRAWL_PASS_INFO_TEXT_17","Вигравай ще більше нагород! Зокрема:\n\n<BRAWLER> — новий хроматичний боєць!\n\nУНІКАЛЬНИЙ ТИМЧАСОВИЙ СКІН «<SKIN_1>»!\n\nУНІКАЛЬНІ КРУТІ ТИМЧАСОВІ ЗНАЧКИ ДЛЯ БІЙЦЯ <BRAWLER>!\n\nУНІКАЛЬНИЙ ТИМЧАСОВИЙ СПРЕЙ та ІКОНКА ПРОФІЛЮ!\n\nДОДАТКОВІ МОНЕТИ, ОЧКИ СИЛИ ТА БЛІНГИ!\n\nДОДАТКОВІ КВЕСТИ, щоб швидше пройти Brawl Pass!\n\nУНІКАЛЬНЕ КОЛЬОРОВЕ ІМ’Я на весь сезон!"
"TID_RANKED_BLING_TUTORIAL","Твої зіркові очки за кінець сезону автоматично перетворилися на блінги.\n\nБлінги — це новий спосіб покупки елементів оформлення!"
"TID_RANKED_BLING_TITLE","БЛІНГИ"
"TID_VOLLEY_491","Операція «Ізоляція»"
"TID_VOLLEY_492","Дорога до успіху"
"TID_VOLLEY_493","Тремтяча земля"
"TID_VOLLEY_494","Швидка атака"
"TID_VOLLEY_495","Дорога сили"
"TID_TAGTEAM_491","Смертельна петля"
"TID_TAGTEAM_492","Дивись під ноги"
"TID_TAGTEAM_493","Вузьке місце"
"TID_TAGTEAM_494","Диявольський шлях"
"TID_TAGTEAM_495","Порите поле"
"TID_CATALOG_PREVIEW_DESC_EMOTE_SKIN_INFO_SHORT","Відноситься до скіну «<SKIN>»."
"TID_CATALOG_PREVIEW_DESC_EMOTE_SHORT","<SKIN_INFO>"
"TID_TOPDOG_WIN","ПЕРЕМОГА!"
"TID_RANKED_REWARD_TRACK_OVERLAY_PAST","Ця нагорода вже отримана!"
"TID_RANKED_SEASON_START_NOTIFICATION","НАГОРОДА СКИДАННЯ РЕЙТИНГОВОГО СЕЗОНУ: БЛІНГИ (<AMOUNT>)!"
"TID_TOP_TOOL_TIP_COSMETIC_COINS_EXTRAINFO_MAX_REACHED","\n\n<cFF0000>Зібрано максимальну кількість. Витрать наявні блінги, перш ніж збирати далі.</c>"
"TID_RANKED_RANK_UP_REWARD_NOTIFICATION","РЕЙТИНГОВА НАГОРОДА — <MODE>: отримано блінги (<AMOUNT>) за досягнення рангу «<RANK>»!"
"TID_ACCESSORY_BLOCKED_SHADOW_REALM","Не можна використовувати в царстві тіней!"
"TID_LOGIN_CALENDAR_REWARD_HERO_LVL_UP_MATERIAL","МОНЕТИ"
"TID_LOGIN_CALENDAR_REWARD_DESC_HERO_LVL_UP_MATERIAL","Використовуй монети для покращення бійців."
"TID_LOGIN_CALENDAR_REWARD_POWER_POINTS","ОЧКИ СИЛИ"
"TID_LOGIN_CALENDAR_REWARD_DESC_POWER_POINTS","Використовуй очки сили для покращення бійців."
"TID_LOGIN_CALENDAR_REWARD_RECRUIT_TOKEN","КРЕДИТИ"
"TID_LOGIN_CALENDAR_REWARD_DESC_RECRUIT_TOKEN","Використовуй кредити для покращення бійців."
"TID_LOGIN_CALENDAR_REWARD_BLING","БЛІНГИ"
"TID_LOGIN_CALENDAR_REWARD_DESC_BLING","Використовуй блінги для покупки скінів, значків, спреїв та іконок профілю."
"TID_LOGIN_CALENDAR_CHRONOS_REWARD_BRAWLER_CHOICE","БОЄЦЬ"
"TID_LOGIN_CALENDAR_CHRONOS_REWARD_DESC_BRAWLER","Отримати бійця <HERONAME1>"
"TID_LOGIN_CALENDAR_CHRONOS_LEFT_TITLE","ПОДАРУНКИ ДНЯ"
"TID_LOGIN_CALENDAR_CHRONOS_LEFT_SUBTITLE","<cfffc11>ЗАХОДЬ У ГРУ ЩОДНЯ ПРОТЯГОМ <NUM> ДНІВ</c> і отримуй <cfffc11>ПОДАРУНКИ!</c>"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_TITLE","ГОТУЙСЯ ДО БОЮ!"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_DESCRIPTION","Вибери бійця для гри"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_BUTTON_BRAWL","ГРАТИ"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_HERO_LEVEL_UPGRADE","+ <AMOUNT>"
"TID_BUTTON_QUESTS","КВЕСТИ"
"TID_SKIN_INFO_CAMPAIGN_CURSED","ПРОКЛЯТІ ПІРАТИ"
"TID_SKIN_INFO_CAMPAIGN_ENCHANTED","ЗАЧАРОВАНИЙ ЛІС"
"TID_SKIN_INFO_CAMPAIGN_GOLDENBALL","ЗОЛОТИЙ БРОУЛБОЛ"
"TID_SHOP_CURSED_SKINS","ПРОКЛЯТІ ПІРАТИ"
"TID_SKIN_INFO_CAMPAIGN_CURSED_TITLE","ПРОКЛЯТІ ПІРАТИ"
"TID_SKIN_SET_INFO","Комплект скінів"
"TID_SHOP_GOLDENBALL_SKINS","ЗОЛОТИЙ БРОУЛБОЛ"
"TID_SKIN_INFO_CAMPAIGN_GOLDENBALL_TITLE","ЗОЛОТИЙ БРОУЛБОЛ"
"TID_SHOP_ENCHANTED_SKINS","ЗАЧАРОВАНИЙ ЛІС"
"TID_SKIN_INFO_CAMPAIGN_ENCHANTED_TITLE","ЗАЧАРОВАНИЙ ЛІС"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_WELCOME_BACK","З ПОВЕРНЕННЯМ!"
"TID_RANDOM_REWARD_WAIT","До призів Старр <TIME>"
"TID_LOGIN_CALENDAR_WELCOME_POPUP_LEVEL_UP","ПОКРАЩЕНО!"
"TID_RANDOM_REWARD_TAP_1","Тисни, тисни, тисни, тисни, тисни!"
"TID_RANDOM_REWARD_TAP_2","Тисни, тисни, тисни, тисни!"
"TID_RANDOM_REWARD_TAP_3","Тисни, тисни, тисни!"
"TID_RANDOM_REWARD_TAP_4","Тисни, тисни!"
"TID_RANDOM_REWARD_TAP_5","Торкнись, щоб відкрити!"
"TID_LOGIN_CALENDAR_RE_ENGAGEMENT_BLING_DESCRIPTION","ЗА БЛІНГИ МОЖНА КУПИТИ БІЛЬШІСТЬ СКІНІВ, ЗНАЧКІВ, СПРЕЇВ ТА ІКОНОК ПРОФІЛЮ!"
"TID_LOGIN_CALENDAR_RE_ENGAGEMENT_FINAL_REWARD_MESSAGE","ГОРА БЛІНГІВ НА <NUM>-Й ДЕНЬ!"
"TID_WELCOME_BACK_MISSED_YOU","ПОКИ ТЕБЕ НЕ БУЛО..."
"TID_PAYLOAD_16","Серединні землі"
"TID_PAYLOAD_17","Нещасний вантаж"
"TID_PAYLOAD_18","Озерний плескіт"
"TID_PAYLOAD_19","Залізне ядро"
"TID_PAYLOAD_20","Дорожній затор"
"TID_PAYLOAD_21","Новий транзит"
"TID_SKIN_INFO_CAMPAIGN_PHOENIX","ПОЛУМ’ЯНИЙ ДУХ"
"TID_LOGIN_CALENDAR_STAR_REWARD_FINAL_REWARD_MESSAGE","ЗНАЧОК У ПОДАРУНОК НА <NUM>-Й ДЕНЬ!"
"TID_WELCOME_BACK_NEW_BRAWLER","НОВИЙ БОЄЦЬ"
"TID_RANDOM_REWARD_TOOLTIP","Перемагай у боях, щоб отримувати призи Старр. Кожен приз має шанс підвищення рідкості. Чим вища рідкість, тим більше шансів на цінніші нагороди!\n\nДо оновлення призів Старр: <cDE9700><TIME></c>"
"TID_RANDOM_REWARDS_INFO_TITLE","ПЕРЕМАГАЙ У БОЯХ ЩОДНЯ, ЩОБ ОТРИМУВАТИ ПРИЗИ СТАРР"
"TID_TUTORIAL_RECRUIT_ROAD_MOVED","Дорога Старр тепер тут"
"TID_STAR_REWARD_UPGRADE_CHANCES","ЙМОВІРНІСТЬ ПІДВИЩЕННЯ РІДКОСТІ"
"TID_SHARK_MEG_SKIN","МЕГАЛОДОН"
"TID_SHARK_MEG_ONELINER_SKIN_SHOP","МЕГАЛОДОН"
"TID_BIG_BRAIN_CORDELIUS_SKIN","ГРИБ-ПАРАЗИТ КОРДЕЛІУС"
"TID_BIG_BRAIN_CORDELIUS_SKIN_SHOP","ГРИБ-ПАРАЗИТ\nКОРДЕЛІУС"
"TID_POISON_SPORE_CORDELIUS_SKIN","ПОГАНКА КОРДЕЛІУС"
"TID_POISON_SPORE_CORDELIUS_SKIN_SHOP","ПОГАНКА\nКОРДЕЛІУС"
"TID_HAUNTED_HOUSE_8BIT_SKIN","8-БІТ З ПРИВИДАМИ"
"TID_HAUNTED_HOUSE_8BIT_SHOP","8-БІТ\nЗ ПРИВИДАМИ"
"TID_WOOD_SPIRIT_CHESTER_SKIN","ЛІСОВИЙ ДУХ ЧЕСТЕР"
"TID_WOOD_SPIRIT_CHESTER_SKIN_SHOP","ЛІСОВИЙ ДУХ\nЧЕСТЕР"
"TID_STONE_TROLL_LOU_SKIN","КАМІННИЙ ТРОЛЬ ЛУ"
"TID_STONE_TROLL_LOU_SKIN_SHOP","КАМІННИЙ ТРОЛЬ\nЛУ"
"TID_DARK_FAIRY_JANET_SKIN","ТЕМНА ФЕЯ ДЖАНЕТ"
"TID_DARK_FAIRY_JANET_SKIN_SHOP","ТЕМНА ФЕЯ\nДЖАНЕТ"
"TID_CHEST_GRIFF_SKIN","ЗАТонулий СУНДУК ГРИФФ"
"TID_CHEST_GRIFF_SKIN_SHOP","ЗАТонулий СУНДУК\nГРИФФ"
"TID_KRAKEN_SURGE_SKIN","КРАКЕН ВОЛЬТ"
"TID_KRAKEN_SURGE_SKIN_SHOP","КРАКЕН\nВОЛЬТ"
"TID_PIRATE_BIBI_SKIN","ЗОМБІ-ПІРАТКА БІБІ"
"TID_PIRATE_BIBI_SKIN_SHOP","ЗОМБІ-ПІРАТКА\nБІБІ"
"TID_UNICORN_BONNIE_SKIN","ЄДИНОРІЖКА БОННІ"
"TID_UNICORN_BONNIE_SKIN_SHOP","ЄДИНОРІЖКА\nБОННІ"
"TID_FOOTBALL_BONNIE_SKIN","ФУТБОННІ"
"TID_FOOTBALL_BONNIE_SKIN_SHOP","ФУТБОННІ"
"TID_BRAWL_PASS_SEASON_18","ЗАЧАРОВАНИЙ ЛІС"
"TID_COME_BACK_NOTIFICATION_EXTRA_LARGE","Повертайся до бою! На тебе чекає безкоштовний боєць!"
"TID_DRAGON_DOUG_SKIN","ДРАКОН ДАГ"
"TID_DRAGON_DOUG_SKIN_SHOP","ДРАКОН ДАГ"
"TID_WELCOME_BACK_NEW","НОВЕ!"
"TID_BOX_REIMBURSEMENT_TITLE","НАГОРОДИ З ЯЩИКА ОТРИМАНО!"
"TID_INBOX_TROPHY_LEAGUE","Поки тебе не було, трофейна ліга закінчилася. У нагороду ти отримуєш блінги (<NUM>)."
"TID_INBOX_GEAR_REIMBURSEMENT","Поки тебе не було, принцип роботи спорядження змінився. Усе твоє спорядження було скинуто. Придбати нове можна за МОНЕТИ. Усі зібрані тобою раніше жетони спорядження та деталі перетворилися на МОНЕТИ (<NUM>)."
"TID_INBOX_BOX_REIMBURSEMENT","Ящиків більше немає! Уміст усіх ящиків, що зберігалися у тебе, було отримано автоматично."
"TID_INBOX_BLING_REIMBURSEMENT","Блінги — це новий спосіб купувати елементи оформлення. Усі твої зіркові очки автоматично конвертовано в блінги (<NUM>)."
"TID_PAYLOAD_501","Морський диявол"
"TID_PAYLOAD_502","Підняти вітрила"
"TID_PAYLOAD_503","Скриня Деві Джонса"
"TID_PAYLOAD_504","Піастри"
"TID_RANDOM_REWARDS_TITLE","ПРИЗИ СТАРР"
"TID_BOSS_RACE_501","Розломи"
"TID_BOSS_RACE_502","Кругове обертання"
"TID_BOSS_RACE_503","Кільце смерті"
"TID_BOSS_RACE_504","Отруйні поля"
"TID_RANDOM_REWARD_INFO_DESCRIPTION","Нагорода-сюрприз у кожному призі!"
"TID_TITLE_MASTERY_DOUG","Сосиска"
"TID_TITLE_MASTERY_CORDELIUS","Токсичний"
"TID_SHOP_OFFER_TITLE_PHARAOTIS_PACK","Набір значків «Фараотіс»"
"TID_EMOTE_BUNDLE_CROW_PHOENIX_PACK","Набір значків «Ворон-фенікс»"
"TID_EMOTE_BUNDLE_EDGAR_MECHA_PACK","Набір значків «Едгар-меха»"
"TID_COOKER","ПЕРЛ"
"TID_COOKER_SHORT_DESC","ШКОДА"
"TID_COOKER_DESC","Всупереч усім очікуванням, Перл зуміла розтопити суворі серця Белль і Сема своїм душевним теплом. Та й хто встоїть перед шоколадним печивом?"
"TID_COOKER_WEAPON","ГАРЯЧІ ПЕЧЕНЬКА"
"TID_COOKER_WEAPON_DESC","Піч стріляє чергами з печива і трохи охолоджується, якщо вони влучають у противника. Чим сильніший жар, тим більша шкода."
"TID_COOKER_ULTI","ВИПУСТИ ПАР"
"TID_COOKER_ULTI_DESC","Увесь накопичений жар витрачається на вибух, який завдає шкоди противникам поблизу. Чим сильніший жар, тим більша шкода."
"TID_SPEC_ABI_COOKER_1","ЕНЕРГОЗБЕРЕЖЕННЯ"
"TID_SPEC_ABI_COOKER_1_DESC","На активацію Супера витрачається на <c00cc00><VALUE1> %</c> менше жара."
"TID_SPEC_ABI_COOKER_2","ТЕПЛОВИЙ ЗАХИСТ"
"TID_SPEC_ABI_COOKER_2_DESC","Якщо показник жара перевищує <c00cc00><VALUE1> %</c>, отримувана шкода зменшується на <c00cc00><VALUE2> %</c>."
"TID_ACCESSORY_COOKER_GADGET_1","НЕКОНДИЦІЯ"
"TID_ACCESSORY_COOKER_GADGET_1_DESC","Під час наступної основної атаки Перл стріляє палаючими печивами, які завдають <c00cc00><VALUE1> од.</c> додаткової шкоди з часом."
"TID_ACCESSORY_COOKER_GADGET_2","ПРИГОТОВЛЕНО З ЛЮБОВ’Ю"
"TID_ACCESSORY_COOKER_GADGET_2_DESC","Під час наступної основної атаки Перл стріляє ідеально приготованими печивами, які не зачіпають противників і поступово відновлюють <c00cc00><VALUE1> од.</c> здоров’я союзникам."
"TID_CONDUCTOR","ЧАК"
"TID_CONDUCTOR_SHORT_DESC","ШКОДА"
"TID_CONDUCTOR_DESC","Колись видатний маестро, Чак проміняв симфонії концертних залів на какофонію Станції привидів у пошуках натхнення та нових музичних форм!"
"TID_CONDUCTOR_WEAPON","ПАРОВОЗ"
"TID_CONDUCTOR_WEAPON_DESC","Із капелюха Чака виривається хмара пари, яка пронизує ворогів наскрізь і завдає шкоди."
"TID_CONDUCTOR_ULTI","ЧУХ-ЧУХ!"
"TID_CONDUCTOR_ULTI_DESC","Робить ривок до найближчого в полі зору знака, по дорозі завдаючи шкоди ворогам. Якщо в полі зору немає знаків, Чак ставить новий."
"TID_SPEC_ABI_CONDUCTOR_1","ПІТ-СТОП"
"TID_SPEC_ABI_CONDUCTOR_1_DESC","Збільшує максимальну кількість знаків до <c00cc00><VALUE1></c>."
"TID_SPEC_ABI_CONDUCTOR_2","ВАШ КВИТОЧОК!"
